piece,fonction,type_fonction,adresses_groupe
Villa Bulle / Maison principale / 2_Etage / Chambre Lily,Volet Sud,sun protection,"3/0/14, 3/1/14, 3/2/14, 3/3/14, 3/4/14, 3/5/14, 3/6/14, 3/7/14"
Villa Bulle / Maison principale / 2_Etage / Chambre Lily,Volets tous Lily,sun protection,"3/0/17, 3/7/17"
Villa Bulle / Maison principale / 2_Etage / Chambre Lily,chauffage (variable en continu),heating (continuous variable),"4/0/15, 4/1/15, 4/2/15, 4/3/15, 4/4/15, 4/6/15, 4/7/15, 5/1/15, 5/2/15, 5/3/15, 5/6/15, 5/5/15, 5/7/15, 5/0/15, 4/5/15"
Villa Bulle / Maison principale / 2_Etage / Chambre Léane,Eclairage Chambre Léane,switchable light,"1/0/104, 1/1/104"
Villa Bulle / Maison principale / 2_Etage / Chambre Léane,Volet Léane Est,sun protection,"3/0/10, 3/1/10, 3/2/10, 3/3/10, 3/4/10, 3/5/10, 3/7/10, 3/6/10"
Villa Bulle / Maison principale / 2_Etage / Chambre Léane,Volet Léane Sud,sun protection,"3/0/11, 3/1/11, 3/2/11, 3/3/11, 3/4/11, 3/5/11, 3/7/11, 3/6/11"
Villa Bulle / Maison principale / 2_Etage / Chambre Léane,Volets tous Léane,sun protection,"3/0/16, 3/7/16"
Villa Bulle / Maison principale / 2_Etage / Chambre Léane,chauffage (variable en continu),heating (continuous variable),"4/0/13, 4/1/13, 4/2/13, 4/3/13, 4/5/13, 4/6/13, 4/7/13, 5/0/13, 5/6/13, 5/5/13, 5/1/13, 4/4/13"
Villa Bulle / Maison principale / 2_Etage / Chambre Parents,Lumière parents,switchable light,"1/0/106, 1/1/106"
Villa Bulle / Maison principale / 2_Etage / Chambre Parents,Volet Parents,sun protection,"3/2/12, 3/1/12, 3/0/12, 3/3/12, 3/4/12, 3/5/12, 3/6/12, 3/7/12"
Villa Bulle / Maison principale / 2_Etage / Chambre Parents,chauffage (variable en continu),heating (continuous variable),"4/0/14, 4/1/14, 4/2/14, 4/3/14, 4/4/14, 4/5/14, 4/6/14, 4/7/14, 5/0/14, 5/6/14, 5/5/14, 5/1/14"
Villa Bulle / Maison principale / 2_Etage / Dressing,Lumière dressing,dimmable light,"1/0/117, 1/1/117"
Villa Bulle / Maison principale / 2_Etage / Salle de Bain principale,Lumière Douche,switchable light,"1/0/114, 1/1/114"
Villa Bulle / Maison principale / 2_Etage / Salle de Bain principale,Lumière Salle de Bain,switchable light,"1/0/112, 1/1/112"
Villa Bulle / Maison principale / 2_Etage / Salle de Bain principale,Lumière WC,switchable light,"1/0/113, 1/1/113"
Villa Bulle / Maison principale / 2_Etage / Salle de Bain principale,Volet Salle de bain,sun protection,"3/0/15, 3/1/15, 3/2/15, 3/3/15, 3/4/15, 3/5/15, 3/6/15, 3/7/15"
Villa Bulle / Maison principale / 2_Etage / Salle de Bain principale,chauffage (variable en continu),heating (continuous variable),"4/0/16, 4/1/16, 4/2/16, 4/3/16, 4/4/16, 4/5/16, 4/6/16, 4/7/16, 5/0/16, 5/5/16, 5/6/16, 5/1/16"
Villa Bulle / Maison principale / 4_Extérieur / Parking,Lumières - Appliques Facade,switchable light,"1/0/150, 1/0/151"
Villa Bulle / Maison principale / Escalier Sous-Sol RDC,éclairage commutation,switchable light,
