adresse,nom,description,dpt,chemin_groupe,piece_fonction,fonctions,appareils,emplacement_appareil
1/6/65,Salon - Lumière 6 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/66,Salon - Lumière 7 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/67,Salle de Bain - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/68,Salle de Bain - Lumière 2 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/100,Escalier 2 - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/101,Escalier 2 - Lumière 2 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/102,Bureau - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/103,Bureau - Lumière 2 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/104,Chambre 1 - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/105,Chambre 1 - Lumière 2- Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/106,Chambre 2 - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/107,Chambre 2 - Lumière 2 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/108,Chambre 2 - Lumière 3 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/109,Chambre 2 - Lumière 4 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/110,Chambre 3 - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/111,Chambre 3 - Lumière 2- Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/112,Salle de Bain - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/113,Salle de Bain - Lumière 2 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/114,Salle de Bain  - Lumière 3 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/115,Salle de Bain  - Lumière 4 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/116,Salle de Bain  - Lumière 5 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/117,Dressing - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/118,Dressing - Lumière 2 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/119,Couloir - Lumière 1 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/120,Couloir - Lumière 2 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/121,Couloir - Lumière 3 - Mesure Puissance,,,Lumière > Mesure Puissance,,,,
1/6/150,Extérieur - Lumière 1 - On-Off,,,Lumière > Mesure Puissance,,,,
1/6/151,Extérieur - Lumière 2 - On-Off,,,Lumière > Mesure Puissance,,,,
1/6/152,Extérieur - Lumière 3 - On-Off,,,Lumière > Mesure Puissance,,,,
1/7/0,mouvement,Salle à Manger Stores Salle à Manger fenêtre,DPST-1-8,Lumière > Mesure Heures fonctionnement,,,,
1/7/1,Entrée - Lumière - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,Zone 1 ,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/2,Entrée - Lumière - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,Zone 1 ,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/3,Local Technique - Lumière 1 - Mesure Heures Fonctionnement,Local Technique Lumière,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique,Lumière (switchable light),Zone 1 ,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/4,Local Technique - Lumière 2 - Mesure Heures Fonctionnement,Local Technique Lumière,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique,Lumière (switchable light),,
1/7/5,Local Technique - Lumière 3 - Mesure Heures Fonctionnement,Local Technique Lumière,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique,Lumière (switchable light),,
1/7/6,Garage - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,Zone 5,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/7,Garage - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,Zone 5,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/8,Garage - Lumière 3 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/9,Garage - Lumière 4 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/10,étape/arrêt,Salle à Manger Stores Salle à Manger fenêtre,DPST-1-7,Lumière > Mesure Heures fonctionnement,,,,
1/7/11,alerte de vent,Salle à Manger Stores Salle à Manger fenêtre,DPST-1-5,Lumière > Mesure Heures fonctionnement,,,,
1/7/12,alerte de pluie,Salle à Manger Stores Salle à Manger fenêtre,DPST-1-5,Lumière > Mesure Heures fonctionnement,,,,
1/7/13,position des stores,Salle à Manger Stores Salle à Manger fenêtre,DPST-5-1,Lumière > Mesure Heures fonctionnement,,,,
1/7/14,position des lames,Salle à Manger Stores Salle à Manger fenêtre,DPST-5-1,Lumière > Mesure Heures fonctionnement,,,,
1/7/50,Escalier 1 - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,Zone 1 ,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/51,Cuisine - Lumière 1 - Mesure Heures Fonctionnement,Cuisine éclairage commutation,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 1_RDC / Cuisine,Eclairage Evier (switchable light),Zone 1 ,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/52,Cuisine - Lumière 2 - Mesure Heures Fonctionnement,Cuisine Eclairage Bar,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 1_RDC / Cuisine,Eclairage Bar (switchable light),,
1/7/53,Cuisine - Lumière 3 - Mesure Heures Fonctionnement,Cuisine Eclairage Fenetre,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 1_RDC / Cuisine,Eclairage Fenetre (switchable light),,
1/7/54,Cuisine - Lumière 4 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/55,Cuisine - Lumière 5 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/56,Cuisine - Lumière 6 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/57,Salle à manger - Lumière 1 - Mesure Heures Fonctionnement,Salle à Manger éclairage commutation Table,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,éclairage commutation Table (switchable light),Zone 1 ,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/58,Salle à manger - Lumière 2 - Mesure Heures Fonctionnement,Salle à Manger éclairage commutation Espace Centra,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,éclairage commutation Espace Central (switchable light),Zone 1 ,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
1/7/59,Salle à manger - Lumière 3 - Mesure Heures Fonctionnement,Salle à Manger éclairage commutation Espace Centra,,Lumière > Mesure Heures fonctionnement,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,éclairage commutation Espace Central (switchable light),,
1/7/60,Salon - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/61,Salon - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/62,Salon - Lumière 3 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/63,Salon - Lumière 4 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/64,Salon - Lumière 5 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/65,Salon - Lumière 6 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/66,Salon - Lumière 7 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/67,Salle de Bain - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/68,Salle de Bain - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/100,Escalier 2 - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/101,Escalier 2 - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/102,Bureau - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/103,Bureau - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/104,Chambre 1 - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/105,Chambre 1 - Lumière 2- Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/106,Chambre 2 - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/107,Chambre 2 - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/108,Chambre 2 - Lumière 3 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/109,Chambre 2 - Lumière 4 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/110,Chambre 3 - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/111,Chambre 3 - Lumière 2- Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/112,Salle de Bain - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/113,Salle de Bain - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/114,Salle de Bain  - Lumière 3 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/115,Salle de Bain  - Lumière 4 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/116,Salle de Bain  - Lumière 5 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/117,Dressing - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/118,Dressing - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/119,Couloir - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/120,Couloir - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/121,Couloir - Lumière 3 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/150,Extérieur - Lumière 1 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/151,Extérieur - Lumière 2 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
1/7/152,Extérieur - Lumière 3 - Mesure Heures Fonctionnement,,,Lumière > Mesure Heures fonctionnement,,,,
2/0/1,Cuisine - Store Fenêtre - Ouvert-Fermé,Cuisine Stores Cuisine,DPST-1-8,Ouvrant Store > Store Ouvert-Fermé,Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine  (sun protection),Interrupteur Cuisine Lumière et Volet vers evier / Interrupteurs Cuisine Volets et Lumières vers Bar / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Cuisine
2/0/2,Salle à Manger - Store Grande Fenêtre - Ouvert-Fermé,Salle à Manger Stores Salle à Manger Grande Fenêtr,DPST-1-8,Ouvrant Store > Store Ouvert-Fermé,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre (sun protection),Interrupteurs Cuisine Volets et Lumières vers Bar / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Cuisine
2/0/3,Salle à Manger - Store Porte Coulissante - Ouvert-Fermé,Salle à Manger Stores Salle à Manger Porte Couliss,DPST-1-8,Ouvrant Store > Store Ouvert-Fermé,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Coulissante (sun protection),Interrupteur Salle à Manger côté terrasse / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Salle à Manger
2/0/4,Salle à Manger - Store Porte Fenêtre - Ouvert-Fermé,Salle à Manger Stores Salle à Manger Porte Fenêtre,DPST-1-8,Ouvrant Store > Store Ouvert-Fermé,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Fenêtre (sun protection),Interrupteur Salle à Manger côté terrasse / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Salle à Manger
2/0/5,Salon - Store Porte Coulissante - Ouvert-Fermé,Salon Stores Salon Porte Coulissante,DPST-1-8,Ouvrant Store > Store Ouvert-Fermé,Villa Bulle / Maison principale / 1_RDC / Salon,Store Salon Porte Coulissante (sun protection),Zone 2 / interrupteur salon à côté piano,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Salon
2/1/1,Cuisine - Store Fenêtre - Stop,Cuisine Stores Cuisine,DPST-1-1,Ouvrant Store > Store Stop,Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine  (sun protection),Interrupteur Cuisine Lumière et Volet vers evier / Interrupteurs Cuisine Volets et Lumières vers Bar / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Cuisine
2/1/2,Salle à Manger - Store Grande Fenêtre - Stop,Salle à Manger Stores Salle à Manger Grande Fenêtr,DPST-1-9,Ouvrant Store > Store Stop,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre (sun protection),Interrupteurs Cuisine Volets et Lumières vers Bar / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Cuisine
2/1/3,Salle à Manger - Store Porte Coulissante - Stop,Salle à Manger Stores Salle à Manger Porte Couliss,DPST-1-9,Ouvrant Store > Store Stop,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Coulissante (sun protection),Interrupteur Salle à Manger côté terrasse / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Salle à Manger
2/1/4,Salle à Manger - Store Porte Fenêtre - Stop,Salle à Manger Stores Salle à Manger Porte Fenêtre,DPST-1-9,Ouvrant Store > Store Stop,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Fenêtre (sun protection),Interrupteur Salle à Manger côté terrasse / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Salle à Manger
2/1/5,Salon - Store Porte Coulissante - Stop,Salon Stores Salon Porte Coulissante,DPST-1-9,Ouvrant Store > Store Stop,Villa Bulle / Maison principale / 1_RDC / Salon,Store Salon Porte Coulissante (sun protection),Zone 2 / interrupteur salon à côté piano,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Salon
2/2/1,Cuisine - Store Fenêtre - Statut direction actuelle,Cuisine Stores Cuisine,DPST-1-8,Ouvrant Store > Store Statut direction actuelle,Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine  (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/2/2,Salle à Manger - Store Grande Fenêtre - Statut direction actuelle,Salle à Manger Stores Salle à Manger Grande Fenêtr,DPST-1-8,Ouvrant Store > Store Statut direction actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/2/3,Salle à Manger - Store Porte Coulissante - Statut direction actuelle,Salle à Manger Stores Salle à Manger Porte Couliss,DPST-1-8,Ouvrant Store > Store Statut direction actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Coulissante (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/2/4,Salle à Manger - Store Porte Fenêtre - Statut direction actuelle,Salle à Manger Stores Salle à Manger Porte Fenêtre,DPST-1-8,Ouvrant Store > Store Statut direction actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/2/5,Salon - Store Porte Coulissante - Statut direction actuelle,Salon Stores Salon Porte Coulissante,DPST-1-8,Ouvrant Store > Store Statut direction actuelle,Villa Bulle / Maison principale / 1_RDC / Salon,Store Salon Porte Coulissante (sun protection),,
2/3/1,Cuisine - Store Fenêtre - Position absolue,Cuisine Stores Cuisine,DPST-5-1,Ouvrant Store > Store Position absolue,Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine  (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/3/2,Salle à Manger - Store Grande Fenêtre - Position absolue,Salle à Manger Stores Salle à Manger Grande Fenêtr,DPST-5-1,Ouvrant Store > Store Position absolue,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/3/3,Salle à Manger - Store Porte Coulissante - Position absolue,Salle à Manger Stores Salle à Manger Porte Couliss,DPST-5-1,Ouvrant Store > Store Position absolue,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Coulissante (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/3/4,Salle à Manger - Store Porte Fenêtre - Position absolue,Salle à Manger Stores Salle à Manger Porte Fenêtre,DPST-5-1,Ouvrant Store > Store Position absolue,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/3/5,Salon - Store Porte Coulissante - Position absolue,Salon Stores Salon Porte Coulissante,DPST-5-1,Ouvrant Store > Store Position absolue,Villa Bulle / Maison principale / 1_RDC / Salon,Store Salon Porte Coulissante (sun protection),,
2/4/1,Cuisine - Store Fenêtre - Statut position actuelle,Cuisine Stores Cuisine,DPST-5-1,Ouvrant Store > Store statut Position actuelle,Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine  (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/4/2,Salle à Manger - Store Grande Fenêtre - Statut position actuelle,Salle à Manger Stores Salle à Manger Grande Fenêtr,DPST-5-1,Ouvrant Store > Store statut Position actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/4/3,Salle à Manger - Store Porte Coulissante - Statut position actuelle,Salle à Manger Stores Salle à Manger Porte Couliss,DPST-5-1,Ouvrant Store > Store statut Position actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Coulissante (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/4/4,Salle à Manger - Store Porte Fenêtre - Statut position actuelle,Salle à Manger Stores Salle à Manger Porte Fenêtre,DPST-5-1,Ouvrant Store > Store statut Position actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/4/5,Salon - Store Porte Coulissante - Statut position actuelle,Salon Stores Salon Porte Coulissante,DPST-5-1,Ouvrant Store > Store statut Position actuelle,Villa Bulle / Maison principale / 1_RDC / Salon,Store Salon Porte Coulissante (sun protection),,
2/5/1,Cuisine - Store Fenêtre - Position absolue lamelles,Cuisine Stores Cuisine,DPST-5-1,Ouvrant Store > Store Position absolue lamelles,Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine  (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/5/2,Salle à Manger - Store Grande Fenêtre - Position absolue lamelles,Salle à Manger Stores Salle à Manger Grande Fenêtr,DPST-5-1,Ouvrant Store > Store Position absolue lamelles,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/5/3,Salle à Manger - Store Porte Coulissante - Position absolue lamelles,Salle à Manger Stores Salle à Manger Porte Couliss,DPST-5-1,Ouvrant Store > Store Position absolue lamelles,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Coulissante (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/5/4,Salle à Manger - Store Porte Fenêtre - Position absolue lamelles,Salle à Manger Stores Salle à Manger Porte Fenêtre,DPST-5-1,Ouvrant Store > Store Position absolue lamelles,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/5/5,Salon - Store Porte Coulissante - Position absolue lamelles,Salon Stores Salon Porte Coulissante,DPST-5-1,Ouvrant Store > Store Position absolue lamelles,Villa Bulle / Maison principale / 1_RDC / Salon,Store Salon Porte Coulissante (sun protection),,
2/6/1,Cuisine - Store Fenêtre - Statut position lamelles actuelle,Cuisine Stores Cuisine,DPST-5-1,Ouvrant Store > Store Statut position lamelles actuelle,Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine  (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/6/2,Salle à Manger - Store Grande Fenêtre - Statut position lamelles actuelle,Salle à Manger Stores Salle à Manger Grande Fenêtr,DPST-5-1,Ouvrant Store > Store Statut position lamelles actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/6/3,Salle à Manger - Store Porte Coulissante - Statut position lamelles actuelle,Salle à Manger Stores Salle à Manger Porte Couliss,DPST-5-1,Ouvrant Store > Store Statut position lamelles actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Coulissante (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/6/4,Salle à Manger - Store Porte Fenêtre - Statut position lamelles actuelle,Salle à Manger Stores Salle à Manger Porte Fenêtre,DPST-5-1,Ouvrant Store > Store Statut position lamelles actuelle,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Fenêtre (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/6/5,Salon - Store Porte Coulissante - Statut position lamelles actuelle,Salon Stores Salon Porte Coulissante,DPST-5-1,Ouvrant Store > Store Statut position lamelles actuelle,Villa Bulle / Maison principale / 1_RDC / Salon,Store Salon Porte Coulissante (sun protection),,
2/7/1,Cuisine - Store Fenêtre - Autres,Cuisine Stores Cuisine,DPST-1-1,Ouvrant Store > Store Autres,Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine  (sun protection),Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique
2/7/2,Salle à Manger - Store Grande Fenêtre - Autres,Salle à Manger Stores Salle à Manger Grande Fenêtr,,Ouvrant Store > Store Autres,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre (sun protection),,
2/7/3,Salle à Manger - Store Porte Coulissante - Autres,Salle à Manger Stores Salle à Manger Porte Fenêtre,,Ouvrant Store > Store Autres,Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Porte Coulissante (sun protection) / Store Salle à Manger Porte Fenêtre (sun protection),,
2/7/4,Salle à Manger - Store Porte Fenêtre - Autres,,,Ouvrant Store > Store Autres,,,,
2/7/5,Salon - Store Porte Coulissante - Autres,Salon Stores Salon Porte Coulissante,,Ouvrant Store > Store Autres,Villa Bulle / Maison principale / 1_RDC / Salon,Store Salon Porte Coulissante (sun protection),,
3/0/0,commutation,Salon éclairage spots piano,DPST-1-1,Ouvrant Volet > Volet Ouvert-Fermé,,,,
3/0/1,Studio - Volet Fenêtre Salon - Ouvert-Fermé,,,Ouvrant Volet > Volet Ouvert-Fermé,,,,
3/0/2,Studio - Volet Porte Fenêtre Salon - Ouvert-Fermé,,,Ouvrant Volet > Volet Ouvert-Fermé,,,,
3/0/3,Studio - Volet Chambre - Ouvert-Fermé,,,Ouvrant Volet > Volet Ouvert-Fermé,,,,
3/0/4,Studio - Reserve - Ouvert-Fermé,,,Ouvrant Volet > Volet Ouvert-Fermé,,,,
3/0/5,Cuisine - Volet évier - Ouvert-Fermé,Cuisine Volet Cuisine,DPST-1-8,Ouvrant Volet > Volet Ouvert-Fermé,Villa Bulle / Maison principale / 1_RDC / Cuisine,Volet Cuisine (sun protection),Interrupteur Cuisine Lumière et Volet vers evier / Zone 1,Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique / Tableau Electrique et Domotique; Villa Bulle / Maison principale / 1_RDC / Cuisine
